Corrida,Beneficio,PromedioTiempoEnCola,TasaDeAtencion,PorcentajeTiempoLibre,UtilizacionEmpleada
824,86700.0000,1.1042,11.1250,49.68,8.74
825,116250.0000,0.6952,14.7500,38.23,5.35
826,107550.0000,1.2876,13.8750,27.43,8.70
827,126600.0000,1.4780,16.3750,30.80,7.96
828,102150.0000,1.6655,12.5000,30.54,10.79
829,105900.0000,1.3671,13.2500,45.48,8.67
830,108600.0000,1.3586,14.6250,30.52,8.56
831,116400.0000,1.8925,14.3750,25.36,10.12
832,105300.0000,1.1354,14.0000,40.24,7.32
833,110850.0000,2.5908,14.7500,25.86,13.56
834,124650.0000,3.6081,16.2500,20.96,16.12
835,105750.0000,3.1938,13.7500,28.46,13.85
836,120750.0000,1.3698,15.2500,33.11,7.94
837,119400.0000,2.0547,15.3750,25.54,10.95
838,108300.0000,3.5470,14.8750,12.89,17.48
839,101250.0000,0.5679,13.5000,41.85,5.12
840,116250.0000,0.7349,15.0000,31.72,5.64
841,117900.0000,1.5126,15.8750,27.89,8.24
842,119700.0000,6.5877,16.5000,25.05,23.38
843,118950.0000,3.8480,15.2500,23.49,18.16
844,107400.0000,0.8523,13.8750,39.80,6.05
845,132000.0000,1.5768,16.6250,23.35,8.49
846,108900.0000,0.9703,14.5000,36.65,6.65
847,107700.0000,0.9034,15.2500,32.90,6.20
848,114600.0000,8.3502,15.6250,12.31,35.35
849,104100.0000,1.0966,14.6250,34.10,7.24
850,110700.0000,2.1709,14.7500,27.08,11.75
851,109200.0000,2.8568,14.7500,21.75,14.61
852,125400.0000,1.7398,16.5000,32.13,8.58
853,111900.0000,1.9970,14.6250,26.73,11.00
854,124800.0000,3.6508,15.8750,14.07,16.72
855,121050.0000,5.2941,15.8750,12.97,22.71
856,107700.0000,2.0266,14.0000,20.15,12.03
857,114000.0000,0.7976,13.6250,35.21,6.38
858,107400.0000,1.8454,14.3750,23.89,9.97
859,127350.0000,2.3644,16.0000,20.34,11.91
860,103950.0000,1.6100,14.1250,34.83,9.63
861,109050.0000,0.6706,13.3750,39.91,5.71
862,111900.0000,2.4857,15.5000,15.97,12.02
863,84750.0000,1.5737,11.7500,35.02,11.38
864,108750.0000,1.0458,13.6250,34.73,7.59
865,101250.0000,1.6830,13.2500,27.61,10.91
866,108300.0000,1.0512,14.3750,42.39,6.85
867,116700.0000,1.0619,15.5000,29.30,6.73
868,119850.0000,1.9515,15.1250,23.93,10.76
869,98700.0000,0.7361,14.1250,41.94,5.69
870,109650.0000,2.1395,15.1250,27.35,11.38
871,98400.0000,0.7808,12.7500,42.09,6.52
872,122550.0000,3.4225,15.7500,11.62,16.41
873,110550.0000,0.4206,13.8750,44.34,4.21
874,133350.0000,1.3986,15.7500,34.29,7.83
875,100500.0000,1.5565,13.0000,33.22,10.22
876,116850.0000,1.0528,14.1250,34.17,6.91
877,119850.0000,1.2360,15.8750,24.88,7.49
878,121650.0000,3.9909,15.5000,15.02,18.77
879,115350.0000,0.9124,15.3750,33.03,6.28
880,113250.0000,1.8005,15.6250,23.42,9.86
881,99300.0000,1.2226,12.8750,25.41,9.10
882,118650.0000,1.7719,15.1250,19.67,10.22
883,111300.0000,1.1802,14.0000,37.70,7.61
884,107400.0000,4.5395,15.5000,21.46,17.03
885,125550.0000,1.6699,15.7500,22.99,9.29
886,115050.0000,3.9906,15.1250,19.88,19.01
887,109800.0000,1.1488,14.8750,29.03,7.43
888,106350.0000,0.9417,13.8750,33.15,6.81
889,123000.0000,0.7939,16.1250,33.46,5.45
